cost_bps,gamma,strategy,CER_net_pct,CER_gain_vs_bench_pct,Sharpe_net
0.0,2.0,ols_base,3.5744084601020507,0.10555360793752477,0.3923715731455225
0.0,2.0,enet_base,3.5608210195991328,0.09196616743460684,0.41063797302119975
0.0,2.0,rf_base,4.438529774132998,0.9696749219684717,0.4517124726636683
0.0,2.0,gbrt_base,3.49408538524461,0.02523053308008416,0.3946206031729548
0.0,2.0,combo_base,4.619213242027073,1.1503583898625473,0.47138822533321034
0.0,2.0,ols_aug,6.470963747035714,3.0021088948711885,0.6102763170116872
0.0,2.0,enet_aug,3.518632546388948,0.04977769422442213,0.4072643593128452
0.0,2.0,rf_aug,6.051912396965472,2.583057544800946,0.628291389775184
0.0,2.0,gbrt_aug,2.413706361802833,-1.055148490361693,0.31586473479859867
0.0,2.0,combo_aug,5.602314957805034,2.1334601056405083,0.548167732399414
0.0,3.0,ols_base,2.5502288452960373,0.5524413304666886,0.3924232511435377
0.0,3.0,enet_base,2.5691742695502393,0.5713867547208906,0.4121016322073731
0.0,3.0,rf_base,3.9000843712379973,1.9022968564086487,0.4937420241148468
0.0,3.0,gbrt_base,1.5285721911786732,-0.46921532365067553,0.3103936702383067
0.0,3.0,combo_base,2.9719981231908914,0.9742106083615427,0.42260606822503893
0.0,3.0,ols_aug,5.500126308425165,3.5023387935958166,0.6101498981092698
0.0,3.0,enet_aug,2.4863820041276874,0.4885944892983387,0.4036038072991672
0.0,3.0,rf_aug,4.985191325009075,2.9874038101797264,0.616363440202969
0.0,3.0,gbrt_aug,0.7805843030824738,-1.2172032117468747,0.24396681019159613
0.0,3.0,combo_aug,3.9867130509542603,1.9889255361249116,0.5023216073510228
0.0,5.0,ols_base,0.4194910777262941,-0.7734392934172383,0.37183348754700835
0.0,5.0,enet_base,1.7500484011181194,0.557118029974587,0.4408335577793753
0.0,5.0,rf_base,2.077574388158732,0.8846440170151997,0.46309525129809403
0.0,5.0,gbrt_base,-0.13207212315994415,-1.3250024943034766,0.2321248914179137
0.0,5.0,combo_base,0.7316122417506877,-0.46131812939284467,0.3558040011144976
0.0,5.0,ols_aug,3.8131969166451687,2.6202665455016363,0.6184672558807844
0.0,5.0,enet_aug,1.7989869351879888,0.6060565640444564,0.44782732129204883
0.0,5.0,rf_aug,3.0787124892828164,1.885782118139284,0.5607262753028462
0.0,5.0,gbrt_aug,-0.07515907195705299,-1.2680894431005854,0.20208959647154967
0.0,5.0,combo_aug,1.782755046692107,0.5898246755485745,0.43712605505341345
5.0,2.0,ols_base,3.5257576391760805,0.08347934799834578,0.3889859956151249
5.0,2.0,enet_base,3.530601710806866,0.08832341962913137,0.40819771477662975
5.0,2.0,rf_base,4.394145626364387,0.9518673351866522,0.44864379584033215
5.0,2.0,gbrt_base,3.411430425822143,-0.030847865355591697,0.38850103958251575
5.0,2.0,combo_base,4.564788503837429,1.122510212659694,0.4674811059929333
5.0,2.0,ols_aug,6.302334402058659,2.8600561108809246,0.59808339491863
5.0,2.0,enet_aug,3.4861029639353944,0.043824672757659666,0.40464415719535046
5.0,2.0,rf_aug,5.949541395855867,2.5072631046781324,0.6195876995035619
5.0,2.0,gbrt_aug,2.2583713683630746,-1.1839069228146601,0.30390766616061926
5.0,2.0,combo_aug,5.491810616749207,2.0495323255714726,0.5400929846667961
5.0,3.0,ols_base,2.5083847708320635,0.53720329151645,0.38946339980173433
5.0,3.0,enet_base,2.5372635790975413,0.5660820997819278,0.4087527608623318
5.0,3.0,rf_base,3.8485744536789843,1.8773929743633708,0.4898241793428057
5.0,3.0,gbrt_base,1.4462332816284045,-0.524948197687209,0.3038420414370442
5.0,3.0,combo_base,2.925174849262794,0.9539933699471805,0.41914782641310927
5.0,3.0,ols_aug,5.323633641006823,3.3524521616912093,0.5971890342892848
5.0,3.0,enet_aug,2.453283975184919,0.4821024958693054,0.4001277038769115
5.0,3.0,rf_aug,4.885934784024834,2.9147533047092207,0.6073432174532223
5.0,3.0,gbrt_aug,0.6319392252007027,-1.339242254114911,0.2313696415802604
5.0,3.0,combo_aug,3.871479802816796,1.9002983235011826,0.49345680196771574
5.0,5.0,ols_base,0.3861025569901571,-0.7929624571974183,0.36939564078333553
5.0,5.0,enet_base,1.7290263750239967,0.5499613608364213,0.43736765889643986
5.0,5.0,rf_base,2.0161456012073535,0.8370805870197782,0.4574492154831541
5.0,5.0,gbrt_base,-0.2038319624819691,-1.3828969766695445,0.22480698683732725
5.0,5.0,combo_base,0.6854056929590966,-0.4936593212284788,0.3518774605480947
5.0,5.0,ols_aug,3.6451072513019724,2.4660422371143973,0.6055463427094178
5.0,5.0,enet_aug,1.7740835173008964,0.595018503113321,0.4437931426282716
5.0,5.0,rf_aug,2.992157348968945,1.8130923347813697,0.5516954160152994
5.0,5.0,gbrt_aug,-0.20314801241319483,-1.3822130266007702,0.18685140443711523
5.0,5.0,combo_aug,1.6533791551035046,0.47431414091592927,0.42531305468247177
10.0,2.0,ols_base,3.477084046149867,0.061385406905231754,0.38559844439957924
10.0,2.0,enet_base,3.5003780839176155,0.08467944467298016,0.4057572317440248
10.0,2.0,rf_base,4.34974059557475,0.9340419563301148,0.44557274386731294
10.0,2.0,gbrt_base,3.3287197312621113,-0.08697890798252406,0.3823712869272447
10.0,2.0,combo_base,4.51034203475207,1.0946433955074348,0.4635709761061049
10.0,2.0,ols_aug,6.133534385639895,2.71783574639526,0.5858524668182999
10.0,2.0,enet_aug,3.4535672793265255,0.03786864008189017,0.4020233315366304
10.0,2.0,rf_aug,5.84709622239201,2.431397583147375,0.6108718692234044
10.0,2.0,gbrt_aug,2.102929184415772,-1.3127694548288633,0.29192364871311965
10.0,2.0,combo_aug,5.381219581031911,1.9655209417872759,0.5320023044074791
10.0,3.0,ols_base,2.4665211171773898,0.5219488130040624,0.38650271076985954
10.0,3.0,enet_base,2.5053474551885184,0.560775151015191,0.40540375097475156
10.0,3.0,rf_base,3.7970344789392,1.8524621747658725,0.4859038882272332
10.0,3.0,gbrt_base,1.3638408412363818,-0.5807314629369456,0.2972828243744272
10.0,3.0,combo_base,2.878332541788521,0.9337602376151937,0.4156872752296352
10.0,3.0,ols_aug,5.146892421884212,3.202320117710885,0.5841845697189924
10.0,3.0,enet_aug,2.4201792925426875,0.4756069883693601,0.39665127278769335
10.0,3.0,rf_aug,4.786603060402655,2.8420307562293274,0.598314371380104
10.0,3.0,gbrt_aug,0.4831811746570124,-1.461391129516315,0.21874823908576774
10.0,3.0,combo_aug,3.7561436595882602,1.8115713554149329,0.4845736714046639
10.0,5.0,ols_base,0.35269566256534485,-0.8125024196053932,0.3669572160443552
10.0,5.0,enet_base,1.707995701343773,0.542797619173035,0.4338988450000146
10.0,5.0,rf_base,1.9546874239410983,0.7894893417703603,0.45179968021783734
