variable,n,mean,sd,min,p25,median,p75,max,skew,kurtosis,AR1
eqp,300,0.0036763461398436727,0.03863532508344017,-0.1512476626606031,-0.01703362524871848,0.009259605998107222,0.028776402903339233,0.12734897651823868,-0.6951005369489134,1.7203541571574728,0.032155306299647614
dy,300,0.03525221778,0.004305297173733461,0.022492868,0.03299265625,0.035513364000000006,0.037725032000000006,0.046435502,-0.32687763683714827,0.8038427366855263,0.9749333515517475
term_spread,300,0.008143726666666667,0.011810495888363554,-0.014943999999999999,-0.0007702500000000003,0.007998,0.015261750000000001,0.03623799999999999,0.4148113535591897,-0.367661844394779,0.9510321268530643
short_rate,300,0.023163316666666666,0.021538258984188006,0.000394,0.0043005000000000005,0.007098,0.046426,0.064568,0.3532268799375266,-1.6594196076594545,0.9862239309470605
infl,300,0.0261993250246199,0.020724228524880414,-0.0019980019980019303,0.014700973847483034,0.022289134457669224,0.030384936569418264,0.1109154929577465,2.0892404211810782,5.1178656206549675,0.9827276500797358
rvol,300,0.14884258947670645,0.0894853637745113,0.04363039210780603,0.09119311077041646,0.1266470432094693,0.17527928337709045,0.7190006818462341,2.582283992311266,10.210108110002352,0.6297346924237629
sent,300,-0.20078853704934396,0.05729816513441364,-0.362034529451591,-0.24156275389889617,-0.20050734237066964,-0.15627162361602057,-0.064083106815665,-0.15187524042158188,-0.3918064473544254,0.8372056460773634
