comparison,model,spec,oos_r2_pct,cw_t,cw_p,sig
vs historical mean,ols,base,-14.024829817769668,1.0754018398377059,0.1410974292220459,
vs historical mean,enet,base,0.31335803364160864,1.4017863208834584,0.08048953223862602,*
vs historical mean,rf,base,-0.882203235093848,1.2026569641602494,0.1145545470743855,
vs historical mean,gbrt,base,-0.8838156701865607,0.10548440338927381,0.4579957226167781,
vs historical mean,combo,base,-0.8850082435670759,0.9984969809996378,0.15901921384177017,
vs historical mean,ols,aug,-14.847028691415098,1.098024673883411,0.13609685762189222,
vs historical mean,enet,aug,0.3619295687533608,1.3889492482157664,0.08242409169458245,*
vs historical mean,rf,aug,-0.1842250988934646,1.4647809445462685,0.07149034619787378,*
vs historical mean,gbrt,aug,-0.9843068203812866,-0.11050606898132785,0.5439959815007176,
vs historical mean,combo,aug,-0.3263369354545631,1.1968559656163462,0.11568135000841266,
augmented vs baseline,ols,aug-vs-base,-0.7210700291852667,1.7997633191512712,0.03594900908414502,**
augmented vs baseline,enet,aug-vs-base,0.04872421635804258,0.7217797704725382,0.23521494438699247,
augmented vs baseline,rf,aug-vs-base,0.6918743978794994,1.0782450352896804,0.14046220946032167,
augmented vs baseline,gbrt,aug-vs-base,-0.09961077455999945,0.2783235806519646,0.39038198810791186,
augmented vs baseline,combo,aug-vs-base,0.5537703944710093,1.2814148018695053,0.1000240039002901,
