strategy,CER_gross_pct,CER_net_pct,Sharpe_gross,Sharpe_net,ann_ret_net_pct,ann_vol_pct,max_dd_pct,avg_turnover,avg_weight,CER_gain_vs_bench_pct
bench,1.9977875148293487,1.9445723041733274,0.3531406423860297,0.3474870025089351,4.585295192496721,9.485199880219412,-27.507925263808186,0.043518837584408,0.7267152269678794,0.0
ols_base,2.5502288452960373,2.4665211171773898,0.3924232511435377,0.38650271076985954,6.759936966718767,14.104101068822775,-36.26565572046577,0.06902514075053734,0.9715094193144166,0.5219488130040624
enet_base,2.5691742695502393,2.5053474551885184,0.4121016322073731,0.40540375097475156,5.177281615750775,9.581420361288417,-27.15258314603266,0.052733731654298226,0.7441139628952743,0.560775151015191
rf_base,3.9000843712379973,3.7970344789392,0.4937420241148468,0.4859038882272332,7.695818879627067,13.133072565545588,-29.14771027038887,0.08544945634570154,1.0610757077599955,1.8524621747658725
gbrt_base,1.5285721911786732,1.3638408412363818,0.3103936702383067,0.2972828243744272,5.047284882181415,12.596417446072481,-38.22582487043255,0.13982951420142176,0.9327391678664188,-0.5807314629369456
combo_base,2.9719981231908914,2.878332541788521,0.42260606822503893,0.4156872752296352,6.923728624344964,13.509841728633015,-36.26565572046576,0.0791972609449906,0.9894214568959248,0.9337602376151937
ols_aug,5.500126308425165,5.146892421884212,0.6101498981092698,0.5841845697189924,9.167071827434633,13.420683128559714,-36.26565572046576,0.3001666305029542,0.8888806727059205,3.202320117710885
enet_aug,2.4863820041276874,2.4201792925426875,0.4036038072991672,0.39665127278769335,5.088328037895508,9.56890199805129,-27.152583146032672,0.05474790272127766,0.7383448253706217,0.4756069883693601
rf_aug,4.985191325009075,4.786603060402655,0.616363440202969,0.598314371380104,7.926167848842037,11.037955844005243,-18.98523808709667,0.16421178628455554,0.959929250564181,2.8420307562293274
gbrt_aug,0.7805843030824738,0.4831811746570124,0.24396681019159613,0.21874823908576774,3.8959916757954165,11.860357747705164,-36.54156338184907,0.2529208648769549,0.814939560255514,-1.461391129516315
combo_aug,3.9867130509542603,3.7561436595882602,0.5023216073510228,0.4845736714046639,7.557034648719737,12.875813550930085,-36.26565572046577,0.19604057200374672,0.9332994073727464,1.8115713554149329
buy_and_hold,4.758532984078001,4.758532984078001,0.5841324443368237,0.5841324443368237,8.078000751781378,11.613793293584843,-25.130901408019422,0.0,1.0,2.8139606799046737
